Number_in_place,Toilet,Parking,place_name_raw,place_name_jp,place_name_en,desc_jp,desc_en,latitude,longitude
23,,,Nikaido,二階堂,Nikaido,寺院の重要な儀式や宗教的な遺物を収めるための建物で、二階建ての構造を持ち、それぞれ異なる機能を果たす," A prominent structure within the temple complex, typically used for ceremonies and housing important religious artifacts. Its two-story design allows for different functions on each level.",34.8666495,135.4923309
-,,,Hokora,祠,Hokora,寺院の境内にある小さな祠である可能性があるが、具体的な詳細は提供されていない。,"Likely a small shrine within the temple grounds, but specific details are not provided in the search results.",34.8665744,135.4914135
-,T3,,お手洗（勝尾寺）,トイレ,Toilet,,,34.8663128,135.4913968
24,,,多宝塔,多宝塔,Pagoda Taho,仏教の教えを象徴する二重塔であり、寺院の建築美を引き立てる。,"A two-storied pagoda symbolizing Buddhist teachings, adding to the architectural beauty of the temple grounds.",34.8661809,135.4919173
10,,,明治中興記念碑,一願不動堂,Meiji Restoration Monument,勝尾寺にある明治維新記念碑で、日本の近代化と文化変遷を記念するために建てられた。寺院の歴史的重要性を示す,"Meiji Restoration Memorial Monument) at Katsuo-ji Temple is a monument commemorating the Meiji Restoration period, which was a significant time of modernization and cultural shifts in Japan. While specific details about this monument are not provided in the search results, it likely serves as a reminder of the temple's enduring importance through Japan's transition into the modern era. The presence of this monument at Katsuo-ji Temple highlights the temple's historical significance and its connection to broader Japanese history beyond its religious importance1.",34.8658382,135.4920653
22,,,Fudodo,不動堂（護摩堂),Fudodo,勝尾寺にある明治維新記念碑で、日本の近代化と文化変遷を記念するために建てられた。寺院の歴史的重要性を示す," A hall housing the statue of Fudo Myoo, an important deity in Japanese Buddhism known for his fierce appearance and role as a protector.",34.8659249,135.4915497
11,,,勝ちダルマ奉納棚,勝ちダルマ奉納棚,Kachi Daruma Offering Shelf,訪問者がダルマを奉納するための特別な場所。勝尾寺はこのダルマで特に有名である,"A special area where visitors can offer Daruma dolls, which are associated with goal-setting and good luck. Katsuoji is particularly famous for these dolls.",34.8657179,135.4919172
-,,,勝尾寺のクスノキ,勝尾寺のクスノキ,Katsuoji Camphor tree,"寺院の境内にある巨大なクスノキ。日本文化では神聖な木とされることが多い。
","A large, likely ancient camphor tree on the temple grounds. Such trees are often considered sacred in Japanese culture.",34.8658363,135.4914135
18,,,Hondo,本堂,Hondo,寺院の中心的な建物で、主尊を安置する最も大きく華やかな構造物。,The central building of the temple complex where the primary object of worship is enshrined. It's typically the largest and most ornate structure in the temple.,34.8659238,135.4910813
-,,,Katsuoji,勝尾寺,Katsuoji,727年創建の歴史ある仏教寺院で、大阪府箕面市に位置する。「勝運の寺」として知られ、ダルマと四季折々の美しい景色で有名。880年に清和天皇の病気回復を機に「勝尾寺」と改名された。,"Founded in 727 CE, Katsuoji is a historic Buddhist temple located in Minoh City, Osaka Prefecture. It's known as the ""Temple of Victory"" and is famous for its Daruma dolls and beautiful seasonal scenery. The temple's name was changed from ""Mirokoji"" to ""Katsuoji"" in 880 CE after Emperor Seiwa's recovery from illness.",34.8657752,135.491087
21,,,納経所,給合受付所（納释所）,Nōkyōsho,巡礼者や訪問者が納経帳や掛け軸に御朱印を押してもらえる場所。,"Where pilgrims and visitors can get their books or scrolls stamped as proof of their visit, a common practice in Japanese temple tourism.",34.8658877,135.4913173
20,,,Shorodo,鐘楼堂,Shorodo,寺の鐘を収める建物で、特定の時間や儀式で鳴らされる。,"A structure housing the temple's bell, which is rung at specific times or for certain ceremonies",34.8656358,135.4912898
19,,,Reception,本堂前お授け所,Reception,訪問者を迎え、案内を行う場所で、寺院の情報を提供することもある,"An area for welcoming and orienting visitors, possibly providing information and guidance about the temple.",34.8656358,135.4911587
12,,,手水鉢,手水鉢,Water basin,参拝前に手や口を清めるための水盤,A purification basin where visitors wash their hands and mouth before entering the temple grounds.,34.8655056,135.4914484
16,,,Mizukakekannon,水掛け観音堂,Mizukakekannon,観音像に水をかけて祈願するための仏像。,A statue of Kannon (the bodhisattva of compassion) designed for visitors to pour water over as an act of devotion or for blessings.,34.8658583,135.4907681
15,,,Kaizando,開山堂,Kaizando,寺の開祖を祀る堂で、開祖の像や肖像が安置されていることが多い,"A hall dedicated to the founder of the temple or its sect, often containing a statue or portrait of the founder",34.8658066,135.4907098
14,,,Chinjudo,三社権現（鎮守堂）,Chinjudo,寺院を守護する神々を祀る堂。,A hall dedicated to the temple's protective deities.,34.8656842,135.4907608
13,,,Sanpokojinja,三宝荒神堂,Sanpokojinja,福徳をもたらす三宝荒神を祀る神社。,A shrine dedicated to three deities associated with good fortune.,34.8654608,135.490739
